labels	x	y	size
Alabama 	19.29	3.12	67
Alaska 	51.14	3.54	73
Arizona 	39.02	3.38	67
Arkansas	32.79	3.22	68
California 	58.15	3.51	62
Colorado 	46.06	3.61	72
Connecticut 	72.9	3.56	73
Delaware 	71.27	3.46	66
Florida 	46.05	3.3	66
Georgia 	39.77	3.34	64
Hawaii 	71.04	3.46	69
Idaho 	19.8	3.44	83
Illinois 	56.87	3.44	68
Indiana 	40.45	3.29	70
Iowa 	48.76	3.48	82
Kansas  	35.48	3.45	74
Kentucky  	37.64	3.08	68
Louisiana 	37.03	3.26	64
Maine 	65.62	3.51	82
Maryland 	59.48	3.55	68
Massachusetts	67.07	3.54	73
Michigan	54.78	3.38	72
Minnesota 	49.94	3.63	80
Mississippi 	29.97	3.07	61
Missouri 	42.18	3.27	70
Montana  	46.67	3.45	82
Nebraska 	20.08	3.43	77
Nevada 	48.81	3.46	60
New Hampshire 	51.95	3.57	82
New Jersey	56.24	3.52	72
New Mexico 	60.17	3.36	66
New York	64.28	3.48	65
North Carolina 	45.72	3.35	69
North Dakota 	48.34	3.47	82
Ohio 	45.83	3.37	70
Oklahoma 	18.07	3.23	69
Oregon 	53.5	3.44	75
Pennsylvania	54.93	3.39	73
Rhode Island 	78.28	3.49	70
South Carolina 	44.57	3.26	63
South Dakota 	40.85	3.47	85
Tennessee 	32.61	3.24	68
Texas 	37.83	3.26	64
Utah	27.15	3.59	85
Vermont 	86.18	3.63	83
Virginia 	42.74	3.44	71
Washington 	51.39	3.46	74
West Virginia 	49.9	3.14	69
Wisconsin 	50.57	3.44	78
Wyoming 	22.15	3.51	80